episode - 0/10000, accumulative_reward = 0
episode - 501/10000, accumulative_reward = -45804.94068211997
episode - 502/10000, accumulative_reward = -45954.69918281565
episode - 503/10000, accumulative_reward = -46116.76824607311
episode - 504/10000, accumulative_reward = -46284.39043781083
episode - 505/10000, accumulative_reward = -46434.148938506514
episode - 506/10000, accumulative_reward = -46697.774445471434
episode - 507/10000, accumulative_reward = -46862.02662860789
episode - 508/10000, accumulative_reward = -47029.64882034561
episode - 509/10000, accumulative_reward = -47184.96044952156
episode - 510/10000, accumulative_reward = -47340.27207869751
episode - 511/10000, accumulative_reward = -47495.58370787346
episode - 512/10000, accumulative_reward = -47650.89533704941
episode - 513/10000, accumulative_reward = -47803.73147838555
episode - 514/10000, accumulative_reward = -47958.75073960068
episode - 515/10000, accumulative_reward = -48113.770000815806
episode - 516/10000, accumulative_reward = -48268.789262030936
episode - 517/10000, accumulative_reward = -48423.808523246065
episode - 518/10000, accumulative_reward = -48578.827784461195
episode - 519/10000, accumulative_reward = -48730.769405035884
episode - 520/10000, accumulative_reward = -48895.91610893378
episode - 521/10000, accumulative_reward = -49067.10712868282
episode - 522/10000, accumulative_reward = -49203.39511549367
episode - 523/10000, accumulative_reward = -49323.51134377062
episode - 524/10000, accumulative_reward = -49478.530604985746
episode - 525/10000, accumulative_reward = -49633.8422341617
episode - 526/10000, accumulative_reward = -49789.15386333765
episode - 527/10000, accumulative_reward = -49946.24218781023
episode - 528/10000, accumulative_reward = -50166.01735716197
episode - 529/10000, accumulative_reward = -50167.95412395045
episode - 530/10000, accumulative_reward = -50346.966658747086
episode - 531/10000, accumulative_reward = -50467.37525498484
episode - 532/10000, accumulative_reward = -50622.686884160794
